outs,base_runners,run_expectancy
0,OOO,0.4844025767737381
0,OOX,1.3542757417102966
0,OXO,1.1184399197017494
0,OXX,1.9497568881685576
0,XOO,0.8503706415301546
0,XOX,1.7126315789473685
0,XXO,1.4026442307692308
0,XXX,2.118827160493827
1,OOO,0.2589936838250999
1,OOX,0.9560439560439561
1,OXO,0.670965552350246
1,OXX,1.352258064516129
1,XOO,0.5208074534161491
1,XOX,1.116650987770461
1,XXO,0.8966814159292036
1,XXX,1.5332043842682141
2,OOO,0.10033800463332194
2,OOX,0.353607246845681
2,OXO,0.32506666666666667
2,OXX,0.5534188034188035
2,XOO,0.23554603854389722
2,XOX,0.5023728813559322
2,XXO,0.4215686274509804
2,XXX,0.7256549678695008
