outs,base_runners,run_expectancy
0,OOO,0.5771875480568553
0,OOX,1.5103969754253308
0,OXO,1.1768669286917461
0,OXX,2.041116005873715
0,XOO,0.9763009192881842
0,XOX,1.8871111111111112
0,XXO,1.6186978297161936
0,XXX,2.5129469790382246
1,OOO,0.3128166635391255
1,OOX,0.9892262487757101
1,OXO,0.7338539124776313
1,OXX,1.4973852411388728
1,XOO,0.601114532922716
1,XOX,1.2220401474805407
1,XXO,1.0119269474468877
1,XXX,1.69558599695586
2,OOO,0.12453736514686196
2,OOX,0.41111829347123463
2,OXO,0.33164852255054433
2,OXX,0.640495867768595
2,XOO,0.26663251116153114
2,XOX,0.5111459968602826
2,XXO,0.4856109688112099
2,XXX,0.822768974145121
