outs,base_runners,run_expectancy
0,OOO,0.4764572260326842
0,OOX,1.4515463917525773
0,OXO,1.0648386175378464
0,OXX,1.9341692789968652
0,XOO,0.8413496051687006
0,XOX,1.7513283740701382
0,XXO,1.4212218649517685
0,XXX,2.1529235382308847
1,OOO,0.25839603596990274
1,OOX,0.9436548223350254
1,OXO,0.6564947780678851
1,OXX,1.342121782799749
1,XOO,0.5010950834529114
1,XOX,1.1526104417670682
1,XXO,0.8794074692259545
1,XXX,1.4817001180637543
2,OOO,0.09873721722962504
2,OOX,0.3237936772046589
2,OXO,0.31379986919555264
2,OXX,0.5478443743427971
2,XOO,0.2207378169120996
2,XOX,0.4934707903780069
2,XXO,0.428842177808408
2,XXX,0.7733268197361993
