outs,base_runners,run_expectancy
0,OOO,0.4740418771925954
0,OOX,1.4011406844106464
0,OXO,1.1109417860408413
0,OXX,2.0415973377703827
0,XOO,0.8582553073143598
0,XOX,1.711395101171459
0,XXO,1.4725490196078432
0,XXX,2.2846820809248554
1,OOO,0.25142458777885546
1,OOX,0.9643617021276596
1,OXO,0.6637977407208177
1,OXX,1.3646055437100213
1,XOO,0.5050789185810283
1,XOX,1.1209411764705883
1,XXO,0.8886193206881341
1,XXX,1.59009009009009
2,OOO,0.09879563417388032
2,OOX,0.3632639125981564
2,OXO,0.30357142857142855
2,OXX,0.5595628415300546
2,XOO,0.2266228304916278
2,XOX,0.45267489711934156
2,XXO,0.42968473255402057
2,XXX,0.792152704135737
