outs,base_runners,run_expectancy
0,OOO,0.5173449997790446
0,OOX,1.320964749536178
0,OXO,1.1440411546156044
0,OXX,2.015151515151515
0,XOO,0.8900712338404714
0,XOX,1.7630799605133267
0,XXO,1.4882118244468625
0,XXX,2.2924757281553396
1,OOO,0.2788279479777757
1,OOX,0.9684924866698982
1,OXO,0.6998489172402216
1,OXX,1.417115499700778
1,XOO,0.5382148982178808
1,XOX,1.2115732368896925
1,XXO,0.9306970241661674
1,XXX,1.5708502024291497
2,OOO,0.10644919828231493
2,OOX,0.38114078470161555
2,OXO,0.32308707124010555
2,OXX,0.5699535363964894
2,XOO,0.22576511382481532
2,XOX,0.5323790047716428
2,XXO,0.45543461113740336
2,XXX,0.7585479105107641
