outs,base_runners,run_expectancy
0,OOO,0.5164874076041251
0,OOX,1.5138339920948616
0,OXO,1.1396696609678354
0,OXX,2.0402384500745154
0,XOO,0.9028393966282166
0,XOX,1.8184615384615384
0,XXO,1.4663531114327062
0,XXX,2.334763948497854
1,OOO,0.27957988660656197
1,OOX,0.9743975903614458
1,OXO,0.6942330458312194
1,OXX,1.4169318905155952
1,XOO,0.5548977395048439
1,XOX,1.178401727861771
1,XXO,0.9227399442453206
1,XXX,1.5335570469798658
2,OOO,0.10753272988617381
2,OOX,0.3827621309806583
2,OXO,0.3483491511829969
2,OXX,0.6163768928771733
2,XOO,0.23981623277182235
2,XOX,0.5222258808034245
2,XXO,0.44598337950138506
2,XXX,0.7572772055530677
