outs,base_runners,run_expectancy
0,OOO,0.5210388120297433
0,OOX,1.49625468164794
0,OXO,1.1564137931034484
0,OXX,2.0236768802228413
0,XOO,0.9036303051560856
0,XOX,1.7659372026641293
0,XXO,1.5433773652267047
0,XXX,2.309768637532134
1,OOO,0.2784947908567874
1,OOX,0.964321608040201
1,OXO,0.702471003530005
1,OXX,1.425160163075131
1,XOO,0.5360901694409196
1,XOX,1.1569160997732426
1,XXO,0.9398690216312761
1,XXX,1.5932117527862208
2,OOO,0.1079910204403135
2,OOX,0.357926221335992
2,OXO,0.3355927698032961
2,OXX,0.5987558320373251
2,XOO,0.2313292801921489
2,XOX,0.4944649446494465
2,XXO,0.4649234693877551
2,XXX,0.8095634095634096
