outs,base_runners,run_expectancy
0,OOO,0.491550982392336
0,OOX,1.3778625954198473
0,OXO,1.1041666666666667
0,OXX,1.9630769230769232
0,XOO,0.876049294516878
0,XOX,1.795816733067729
0,XXO,1.4291907514450868
0,XXX,2.363013698630137
1,OOO,0.2615389371502767
1,OOX,0.9336898395721925
1,OXO,0.6840516518530941
1,OXX,1.387344766410408
1,XOO,0.5130354533569176
1,XOX,1.1144578313253013
1,XXO,0.8886344712739384
1,XXX,1.511924570160843
2,OOO,0.10373492565273387
2,OOX,0.34936447956028854
2,OXO,0.32353716394306803
2,OXX,0.592292089249493
2,XOO,0.23253884447126263
2,XOX,0.47876964226011365
2,XXO,0.45497863950049294
2,XXX,0.7854917668001781
