outs,base_runners,run_expectancy
0,OOO,0.5343983054587176
0,OOX,1.5173611111111112
0,OXO,1.1707981476436937
0,OXX,2.03725782414307
0,XOO,0.9248380512911527
0,XOX,1.8475665748393022
0,XXO,1.5268022181146026
0,XXX,2.346911957950066
1,OOO,0.28761524277811923
1,OOX,0.9789372905696505
1,OXO,0.7094017094017094
1,OXX,1.4269599548787366
1,XOO,0.5510405590156464
1,XOX,1.2599552572706936
1,XXO,0.9166666666666666
1,XXX,1.5984296130117779
2,OOO,0.11592586896339588
2,OOX,0.37176470588235294
2,OXO,0.3506078055022393
2,OXX,0.6066770996348461
2,XOO,0.2472133150099252
2,XOX,0.5269896193771626
2,XXO,0.43707957342083675
2,XXX,0.8041763341067285
