outs,base_runners,run_expectancy
0,OOO,0.4527003176844335
0,OOX,1.3688524590163935
0,OXO,1.0714937633100092
0,OXX,1.8859784283513097
0,XOO,0.8235991969337471
0,XOX,1.7745604963805583
0,XXO,1.3853006681514477
0,XXX,2.3397626112759644
1,OOO,0.23573797425989595
1,OOX,0.9416800428036383
1,OXO,0.6253279692146231
1,OXX,1.3529036375239312
1,XOO,0.48357384095793676
1,XOX,1.101187648456057
1,XXO,0.838177874186551
1,XXX,1.5044136191677175
2,OOO,0.0876345940146377
2,OOX,0.34536784741144416
2,OXO,0.3086488752270504
2,OXX,0.5090809025866814
2,XOO,0.20263752825923134
2,XOX,0.4191279887482419
2,XXO,0.39520535871672835
2,XXX,0.6485468245425189
