"draftYear","draftRound","draftSelection","draftOverall","tmID","firstName","lastName","suffixName","playerID","draftFrom","lgID"
"1967","0","0","0","ANA","Darrell","Hardy",,"hardyda01","Baylor","ABA"
"1967","0","0","0","ANA","Bob","Krulish",,,"Pacific","ABA"
"1967","0","0","0","ANA","Bob","Lewis",,"lewisbo01","North Carolina","ABA"
"1967","0","0","0","ANA","Mike","Lynn",,"lynnmi01","UCLA","ABA"
"1967","0","0","0","ANA","Tom","Workman",,"workmto01","Seattle","ABA"
"1967","0","0","0","ANA","Jim","Connolly",,,"Virginia","ABA"
"1967","0","0","0","ANA","Denny","Holman",,"holmade01","Southern Methodist","ABA"
"1967","0","0","0","ANA","Edgar","Lacy",,"lacyed01","UCLA","ABA"
"1967","0","0","0","ANA","Les","Powell",,,"Utah State","ABA"
"1967","0","0","0","ANA","Malcolm","Strong",,,"Seattle","ABA"
"1967","0","0","0","ANA","Gary","Williams",,,"Oklahoma State","ABA"
"1967","0","0","0","ANA","Mike","Wittman",,,"Miami (FL)","ABA"
"1967","0","0","0","DNR","Walt","Frazier",,"fraziwa01","Southern Illinois","ABA"
"1967","0","0","0","DNR","Neville","Shedd",,,"Texas Western","ABA"
"1967","0","0","0","DNR","Bob","Rule",,"rulebo01","Colorado State University","ABA"
"1967","0","0","0","DNR","Gary","Keller",,"kellega01","Florida","ABA"
"1967","0","0","0","DNR","Byron","Beck",,"beckby01","Denver","ABA"
"1967","0","0","0","DNR","Vaughn","Harper",,,"Syracuse","ABA"
"1967","0","0","0","DNR","Rick","Dean",,,"Syracuse","ABA"
"1967","0","0","0","DNR","Neil","Heskin",,,"Georgetown","ABA"
"1967","0","0","0","DNR","Dave","Lattin",,"lattida01","Texas Western","ABA"
"1967","0","0","0","DNR","John","Morrison",,"morrijo01","Canisius","ABA"
"1967","0","0","0","DNR","Neil","Roberts",,,"Brigham Young","ABA"
"1967","0","0","0","DNR","Bill","Turner",,"turnebi01","Akron","ABA"
"1967","0","0","0","DLC","Matt","Aitch",,"aitchma01","Michigan State","ABA"
"1967","0","0","0","DLC","Jim","Burns",,"burnsji01","Northwestern","ABA"
"1967","0","0","0","DLC","Gary","Gray",,"grayga01","Oklahoma City","ABA"
"1967","0","0","0","DLC","Pat","Riley",,"rileypa01","Kentucky","ABA"
"1967","0","0","0","DLC","Jamie","Thompson",,,"Wichita State","ABA"
"1967","0","0","0","DLC","Paul","Brateris",,,"Tennessee Wesleyan","ABA"
"1967","0","0","0","DLC","Jeff","Fitch",,,"East Texas State","ABA"
"1967","0","0","0","DLC","Ted","Manning",,,"North Carolina A&T","ABA"
"1967","0","0","0","DLC","Duane","Heckman",,,"Dickinson","ABA"
"1967","0","0","0","DLC","Gilbert","McDowell",,,"Tennessee Wesleyan","ABA"
"1967","0","0","0","DLC","Jerry","Southwood",,,"Vanderbilt","ABA"
"1967","0","0","0","DLC","Tom","Storm",,,"Montana State","ABA"
"1967","0","0","0","HSM","Bob","Benfield",,,"West Virginia","ABA"
"1967","0","0","0","HSM","Tony","Eatmon",,,"Pan-American","ABA"
"1967","0","0","0","HSM","Bob","Riedy",,"riedybo01","Duke","ABA"
"1967","0","0","0","HSM","Frank","Stronczek",,,"American International","ABA"
"1967","0","0","0","HSM","Keith","Swagerty",,"swageke01","Pacific","ABA"
"1967","0","0","0","HSM","Don","Carlos",,,"Otterbein","ABA"
"1967","0","0","0","HSM","Hal","Hale",,"haleha01","Utah State","ABA"
"1967","0","0","0","HSM","Guy","Manning",,"mannigu01","Prairie View","ABA"
"1967","0","0","0","HSM","Jim","Monahan",,,"Notre Dame","ABA"
"1967","0","0","0","HSM","Mike","Nau",,,"Oregon State","ABA"
"1967","0","0","0","HSM","Jerry","Pettway",,"pettwje01","Northwood Institute","ABA"
"1967","0","0","0","HSM","Dale","Schlueter",,"schluda01","Colorado State","ABA"
