"year","round","series","tmIDWinner","lgIDWinner","tmIDLoser","lgIDLoser","W","L"
"1946","F","O","PHW","NBA","CHS","NBA","4","1"
"1946","QF","M","NYK","NBA","CLR","NBA","2","1"
"1946","QF","M","PHW","NBA","STB","NBA","2","1"
"1946","SF","N","PHW","NBA","NYK","NBA","2","0"
"1946","SF","N","CHS","NBA","WSC","NBA","4","2"
"1947","F","O","BLB","NBA","PHW","NBA","4","2"
"1947","QF","M","BLB","NBA","NYK","NBA","2","1"
"1947","QF","M","CHS","NBA","BOS","NBA","2","1"
"1947","SF","N","BLB","NBA","CHS","NBA","2","0"
"1947","SF","N","PHW","NBA","STB","NBA","4","3"
"1947","DT","A","BLB","NBA","CHS","NBA","1","0"
"1947","DT","A","CHS","NBA","WSC","NBA","1","0"
"1948","DF","K","WSC","NBA","NYK","NBA","2","1"
"1948","DSF","J","WSC","NBA","PHW","NBA","2","0"
"1948","DSF","J","NYK","NBA","BLB","NBA","2","1"
"1948","F","O","MNL","NBA","WSC","NBA","4","2"
"1948","DF","K","MNL","NBA","ROC","NBA","2","0"
"1948","DSF","J","MNL","NBA","CHS","NBA","2","0"
"1948","DSF","J","ROC","NBA","STB","NBA","2","0"
"1949","DF","K","MNL","NBA","FTW","NBA","2","0"
"1949","DT","A","MNL","NBA","ROC","NBA","1","0"
"1949","DSF","J","FTW","NBA","ROC","NBA","2","0"
"1949","DSF","J","MNL","NBA","CHS","NBA","2","0"
"1949","DT","A","FTW","NBA","CHS","NBA","1","0"
"1949","DF","K","SYR","NBA","NYK","NBA","2","1"
"1949","DSF","J","NYK","NBA","WSC","NBA","2","0"
"1949","DSF","J","SYR","NBA","PHW","NBA","2","0"
"1949","F","O","MNL","NBA","SYR","NBA","4","2"
"1949","SF","N","MNL","NBA","AND","NBA","2","0"
"1949","DF","K","AND","NBA","INO","NBA","2","1"
"1949","DSF","J","AND","NBA","TRI","NBA","2","1"
"1949","DSF","J","INO","NBA","SHE","NBA","2","1"
"1950","DF","K","NYK","NBA","SYR","NBA","3","2"
"1950","DSF","J","NYK","NBA","BOS","NBA","2","0"
"1950","DSF","J","SYR","NBA","PHW","NBA","2","0"
"1950","F","O","ROC","NBA","NYK","NBA","4","3"
"1950","DF","K","ROC","NBA","MNL","NBA","3","1"
"1950","DSF","J","MNL","NBA","INO","NBA","2","1"
"1950","DSF","J","ROC","NBA","FTW","NBA","2","1"
"1951","DF","K","NYK","NBA","SYR","NBA","3","1"
"1951","DSF","J","NYK","NBA","BOS","NBA","2","1"
"1951","DSF","J","SYR","NBA","PHW","NBA","2","1"
"1951","F","O","MNL","NBA","NYK","NBA","4","3"
"1951","DF","K","MNL","NBA","ROC","NBA","3","1"
"1951","DSF","J","MNL","NBA","INO","NBA","2","0"
"1951","DSF","J","ROC","NBA","FTW","NBA","2","0"
"1952","DF","K","NYK","NBA","BOS","NBA","3","1"
"1952","DSF","J","BOS","NBA","SYR","NBA","2","0"
"1952","DSF","J","NYK","NBA","BLB","NBA","2","0"
"1952","F","O","MNL","NBA","NYK","NBA","4","1"
"1952","DF","K","MNL","NBA","FTW","NBA","3","2"
"1952","DSF","J","MNL","NBA","INO","NBA","2","0"
"1952","DSF","J","FTW","NBA","ROC","NBA","2","1"
"1953","DF","K","SYR","NBA","BOS","NBA","2","0"
"1953","RR","I","SYR","NBA",,"NBA","4","0"
"1953","RR","I","BOS","NBA",,"NBA","2","2"
"1953","RR","I","NYK","NBA",,"NBA","0","4"
"1953","F","O","MNL","NBA","SYR","NBA","4","3"
"1953","DF","K","MNL","NBA","ROC","NBA","2","1"
"1953","RR","I","MNL","NBA",,"NBA","3","0"
"1953","RR","I","ROC","NBA",,"NBA","2","1"
"1953","RR","I","FTW","NBA",,"NBA","0","4"
"1954","DF","K","SYR","NBA","BOS","NBA","3","1"
"1954","DSF","J","BOS","NBA","NYK","NBA","2","1"
"1954","F","O","SYR","NBA","FTW","NBA","4","3"
"1954","DF","K","FTW","NBA","MNL","NBA","3","1"
"1954","DSF","J","MNL","NBA","ROC","NBA","2","1"
"1955","DF","K","PHW","NBA","SYR","NBA","3","2"
"1955","DSF","J","SYR","NBA","BOS","NBA","2","1"
"1955","DT","A","SYR","NBA","NYK","NBA","1","0"
"1955","F","O","PHW","NBA","FTW","NBA","4","1"
"1955","DF","K","FTW","NBA","STL","NBA","3","2"
"1955","DT","A","MNL","NBA","STL","NBA","1","0"
"1955","DSF","J","STL","NBA","MNL","NBA","2","1"
"1956","DF","K","BOS","NBA","SYR","NBA","3","0"
"1956","DSF","J","SYR","NBA","PHW","NBA","2","0"
"1956","F","O","BOS","NBA","STL","NBA","4","3"
"1956","DF","K","STL","NBA","MNL","NBA","3","0"
"1956","DSF","J","MNL","NBA","FTW","NBA","2","0"
"1956","DT","A","STL","NBA","FTW","NBA","1","0"
"1956","DT","A","STL","NBA","MNL","NBA","1","0"
"1957","DF","K","BOS","NBA","PHW","NBA","4","1"
"1957","DSF","J","PHW","NBA","SYR","NBA","2","1"
"1957","F","O","STL","NBA","BOS","NBA","4","2"
"1957","DF","K","STL","NBA","DET","NBA","4","1"
"1957","DSF","J","DET","NBA","CIN","NBA","2","0"
"1958","DF","K","BOS","NBA","SYR","NBA","4","3"
"1958","DSF","J","SYR","NBA","NYK","NBA","2","0"
"1958","F","O","BOS","NBA","MNL","NBA","4","0"
"1958","DF","K","MNL","NBA","STL","NBA","4","2"
"1958","DSF","J","MNL","NBA","DET","NBA","2","1"
"1959","DF","K","BOS","NBA","PHW","NBA","4","2"
"1959","DSF","J","PHW","NBA","SYR","NBA","2","1"
"1959","F","O","BOS","NBA","STL","NBA","4","3"
"1959","DF","K","STL","NBA","MNL","NBA","4","3"
"1959","DSF","J","MNL","NBA","DET","NBA","2","0"
"1960","DF","K","BOS","NBA","SYR","NBA","4","1"
"1960","DSF","J","SYR","NBA","PHW","NBA","3","0"
"1960","F","O","BOS","NBA","STL","NBA","4","1"
"1960","DF","K","STL","NBA","LAL","NBA","4","3"
"1960","DSF","J","LAL","NBA","DET","NBA","3","2"
"1961","DF","K","BOS","NBA","PHW","NBA","4","3"
"1961","DSF","J","PHW","NBA","SYR","NBA","3","2"
"1961","F","O","BOS","NBA","LAL","NBA","4","3"
"1961","DF","K","LAL","NBA","DET","NBA","4","2"
"1961","DSF","J","DET","NBA","CIN","NBA","3","1"
"1962","DF","K","BOS","NBA","CIN","NBA","4","3"
"1962","DSF","J","CIN","NBA","SYR","NBA","3","2"
"1962","F","O","BOS","NBA","LAL","NBA","4","2"
"1962","DF","K","LAL","NBA","STL","NBA","4","3"
"1962","DSF","J","STL","NBA","DET","NBA","3","1"
"1963","DF","K","BOS","NBA","CIN","NBA","4","1"
"1963","DSF","J","CIN","NBA","PHI","NBA","3","2"
"1963","F","O","BOS","NBA","SFW","NBA","4","1"
"1963","DF","K","SFW","NBA","STL","NBA","4","3"
"1963","DSF","J","STL","NBA","LAL","NBA","3","2"
"1964","DF","K","BOS","NBA","PHI","NBA","4","3"
"1964","DSF","J","PHI","NBA","CIN","NBA","3","1"
"1964","F","O","BOS","NBA","LAL","NBA","4","1"
"1964","DF","K","LAL","NBA","BAL","NBA","4","2"
"1964","DSF","J","BAL","NBA","STL","NBA","3","1"
"1965","DF","K","BOS","NBA","PHI","NBA","4","1"
"1965","DSF","J","BOS","NBA","CIN","NBA","3","2"
"1965","F","O","BOS","NBA","LAL","NBA","4","3"
"1965","DF","K","LAL","NBA","STL","NBA","4","3"
"1965","DSF","J","STL","NBA","BAL","NBA","3","0"
"1966","DF","K","PHI","NBA","BOS","NBA","4","1"
"1966","DSF","J","BOS","NBA","NYK","NBA","3","1"
"1966","DSF","J","PHI","NBA","CIN","NBA","3","1"
"1966","F","O","PHI","NBA","SFW","NBA","4","2"
"1966","DF","K","SFW","NBA","STL","NBA","4","2"
"1966","DSF","J","SFW","NBA","LAL","NBA","3","0"
"1966","DSF","J","STL","NBA","CHI","NBA","3","0"
"1967","DF","K","BOS","NBA","PHI","NBA","4","3"
"1967","DSF","J","BOS","NBA","DET","NBA","4","2"
"1967","DSF","J","PHI","NBA","NYK","NBA","4","2"
"1967","F","O","BOS","NBA","LAL","NBA","4","2"
"1967","DF","K","LAL","NBA","SFW","NBA","4","0"
"1967","DSF","J","LAL","NBA","CHI","NBA","4","1"
"1967","DSF","J","SFW","NBA","STL","NBA","4","2"
"1968","DF","K","BOS","NBA","NYK","NBA","4","2"
"1968","DSF","J","NYK","NBA","BAL","NBA","4","0"
"1968","DSF","J","BOS","NBA","PHI","NBA","4","1"
"1968","F","O","BOS","NBA","LAL","NBA","4","3"
"1968","DF","K","LAL","NBA","ATL","NBA","4","1"
"1968","DSF","J","ATL","NBA","SDR","NBA","4","2"
"1968","DSF","J","LAL","NBA","SFW","NBA","4","2"
"1969","DF","K","NYK","NBA","MIL","NBA","4","1"
"1969","DSF","J","MIL","NBA","PHI","NBA","4","1"
"1969","DSF","J","NYK","NBA","BAL","NBA","4","3"
"1969","F","O","NYK","NBA","LAL","NBA","4","3"
"1969","DF","K","LAL","NBA","ATL","NBA","4","0"
"1969","DSF","J","ATL","NBA","CHI","NBA","4","1"
"1969","DSF","J","LAL","NBA","PHO","NBA","4","3"
"1970","CF","N","BAL","NBA","NYK","NBA","4","3"
"1970","CSF","M","NYK","NBA","ATL","NBA","4","1"
"1970","CSF","M","BAL","NBA","PHI","NBA","4","3"
"1970","F","O","MIL","NBA","BAL","NBA","4","0"
"1970","CF","N","MIL","NBA","LAL","NBA","4","1"
"1970","CSF","M","MIL","NBA","SFW","NBA","4","1"
"1970","CSF","M","LAL","NBA","CHI","NBA","4","3"
"1971","CF","N","NYK","NBA","BOS","NBA","4","1"
"1971","CSF","M","BOS","NBA","ATL","NBA","4","2"
"1971","CSF","M","NYK","NBA","BAL","NBA","4","2"
"1971","F","O","LAL","NBA","NYK","NBA","4","1"
"1971","CF","N","LAL","NBA","MIL","NBA","4","2"
"1971","CSF","M","LAL","NBA","CHI","NBA","4","0"
"1971","CSF","M","MIL","NBA","GSW","NBA","4","1"
"1972","CF","N","NYK","NBA","BOS","NBA","4","3"
"1972","CSF","M","NYK","NBA","BAL","NBA","4","1"
"1972","CSF","M","BOS","NBA","ATL","NBA","4","2"
"1972","F","O","NYK","NBA","LAL","NBA","4","1"
"1972","CF","N","LAL","NBA","GSW","NBA","4","1"
"1972","CSF","M","GSW","NBA","MIL","NBA","4","2"
"1972","CSF","M","LAL","NBA","CHI","NBA","4","3"
